PDB_ID,TM-score,RMSD
/Users/monirulislam/bioprojekt/structures_R/8E3Y_R.pdb,0.90721,1.40
/Users/monirulislam/bioprojekt/structures_R/6WI9_R.pdb,0.83355,1.29
/Users/monirulislam/bioprojekt/structures_R/6X18_R.pdb,0.93510,1.49
/Users/monirulislam/bioprojekt/structures_R/7VQX_R.pdb,0.94585,1.55
/Users/monirulislam/bioprojekt/structures_R/7YON_R.pdb,0.81714,2.35
